trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,True,"{'a': 0.0, 'e': 0.0}",20,16,7.179046307702766,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0.0, 'e': 0.0}",25,16,12.842552058770487,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0.0, 'e': 0.0}",25,18,14.96813129993553,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0.0, 'e': 0.0}",25,18,12.767784399767095,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0.0, 'e': 0.0}",20,15,11.268439078149996,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0.0, 'e': 0.0}",20,0,29.78419748866753,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,True,"{'a': 0.0, 'e': 0.0}",20,13,11.036531217294097,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0.0, 'e': 0.0}",20,15,8.040835024523874,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0.0, 'e': 0.0}",30,22,16.859400011222604,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0.0, 'e': 0.0}",20,13,14.854820884098604,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
